site,train,test,bbox_prec,bbox_rec,class_prec,class_rec
teak,temp-train.csv,fold_0.csv,0.5958274183264305,0.759243469247795,0.8090062111801242,0.9961759082217974
teak,temp-train.csv,fold_1.csv,0.49984705011450364,0.6948340785805565,0.711755233494364,1.0
teak,temp-train.csv,fold_2.csv,0.4555750603541545,0.7256031508985474,0.649746192893401,0.9922480620155039
teak,temp-train.csv,fold_3.csv,0.49469338058213647,0.8002998324713584,0.6552315608919382,0.9922077922077922
teak,temp-train.csv,fold_4.csv,0.38056302593323793,0.7000685878694345,0.5914552736982643,0.9977477477477478
teak,temp-train.csv,fold_5.csv,0.42896012190077354,0.7165077677327251,0.6353741496598639,1.0
teak,temp-train.csv,fold_6.csv,0.4697599950768146,0.7346570628508108,0.6608108108108108,1.0
teak,temp-train.csv,fold_7.csv,0.4775588007131668,0.7979028687529279,0.6313823163138231,1.0
teak,temp-train.csv,fold_8.csv,0.5097168474986823,0.6821203149767728,0.7428571428571429,0.9811320754716981
teak,temp-train.csv,fold_9.csv,0.552571260758107,0.743206738341542,0.7373737373737373,0.9820627802690582
mlbs,temp-train.csv,fold_0.csv,0.5642479213907785,0.6318268239266185,0.8920863309352518,1.0
mlbs,temp-train.csv,fold_1.csv,0.5710187958130117,0.6196514819571404,0.9218241042345277,0.9895104895104895
mlbs,temp-train.csv,fold_2.csv,0.6353649113518914,0.614750196897579,0.9757785467128027,0.9463087248322147
mlbs,temp-train.csv,fold_3.csv,0.6050489053971977,0.7021216006980169,0.8739837398373984,0.9953703703703703
mlbs,temp-train.csv,fold_4.csv,0.5083004940795407,0.5851698239571375,0.8714859437751004,1.0
mlbs,temp-train.csv,fold_5.csv,0.5637926136363637,0.6898107820363918,0.8135593220338984,1.0
mlbs,temp-train.csv,fold_6.csv,0.6182942867629068,0.6881641903028215,0.9,1.0
mlbs,temp-train.csv,fold_7.csv,0.6078592106817913,0.6908082998848629,0.8949416342412452,1.0
mlbs,temp-train.csv,fold_8.csv,0.5883819323057365,0.6335916442048517,0.9285714285714286,1.0
mlbs,temp-train.csv,fold_9.csv,0.6227247143281934,0.6609976663683597,0.9163179916317992,0.9733333333333334
site,train,test,bbox_prec,bbox_rec,class_prec,class_rec
niwo,temp-train.csv,fold_0.csv,0.7652471478225048,0.5278669269099285,1.0,0.6805054151624549
niwo,temp-train.csv,fold_1.csv,0.7577280791330132,0.5196749465618852,1.0,0.6785425101214575
niwo,temp-train.csv,fold_2.csv,0.7462327049774379,0.5061865636611022,1.0,0.6686592655849701
niwo,temp-train.csv,fold_3.csv,0.7429533364074006,0.5537401317619949,1.0,0.7429111531190926
niwo,temp-train.csv,fold_4.csv,0.7514932156142727,0.5122685815907881,1.0,0.66723259762309
niwo,temp-train.csv,fold_5.csv,0.7819756014537776,0.5333335266839296,1.0,0.6786026200873363
niwo,temp-train.csv,fold_6.csv,0.7268006124165068,0.5362472365978876,1.0,0.7295004712535345
niwo,temp-train.csv,fold_7.csv,0.6836136929087245,0.44828598641051287,1.0,0.646944713870029
niwo,temp-train.csv,fold_8.csv,0.7257279086079308,0.5906176380845872,1.0,0.8103448275862069
niwo,temp-train.csv,fold_9.csv,0.743234551259505,0.5289415964884125,1.0,0.68580375782881
sjer,temp-train.csv,fold_0.csv,0.45227895660159484,0.7963924963924964,0.490272373540856,0.9921259842519685
sjer,temp-train.csv,fold_1.csv,0.4415443722943724,0.7984025974025974,0.549407114624506,0.9893238434163701
sjer,temp-train.csv,fold_2.csv,0.41368020868020866,0.783081168831169,0.5362318840579711,0.9966329966329966
sjer,temp-train.csv,fold_3.csv,0.48308247308247304,0.8128984626484628,0.5754189944134078,0.965625
sjer,temp-train.csv,fold_4.csv,0.453990564990565,0.8003571428571428,0.522140221402214,0.9725085910652921
sjer,temp-train.csv,fold_5.csv,0.4568084415584416,0.7678849206349208,0.5251641137855579,0.9411764705882353
sjer,temp-train.csv,fold_6.csv,0.4751709401709401,0.7897034632034632,0.6029411764705882,0.9828767123287672
sjer,temp-train.csv,fold_7.csv,0.4598130480630481,0.8344047619047619,0.5065666041275797,0.996309963099631
sjer,temp-train.csv,fold_8.csv,0.5383239538239539,0.8245198412698411,0.6073059360730594,0.9708029197080292
sjer,temp-train.csv,fold_9.csv,0.5399036031013703,0.8488936988936988,0.5918803418803419,0.9618055555555556
