exp_id,site,seed,epochs,chm,train,test,bbox_prec,bbox_rec,class_prec,class_rec,n_grn_matched,n_brn_matched,n_both_matched
f238e0b170424cb9a702512e33381e0e,teak,42,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6602567111923122,0.7034933265763612,0.914780292942743,0.9359673024523161,0.7062818336162988,0.7446808510638298,0.7097791798107256
c8b7ef0b003c44c2a74f5f0f615bd806,teak,518437,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6646051201897961,0.6526751114988437,0.9522431259044862,0.896457765667575,0.66553480475382,0.6170212765957447,0.6624605678233438
d4e6230b71bc4d6a8b692772baf2d574,teak,645142,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.660257387860465,0.671561048537828,0.9342657342657342,0.9100817438692098,0.6859083191850595,0.5957446808510638,0.6798107255520505
f34b8244bc6d4484a504739da7dd573a,teak,951277,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6584798987543223,0.6726737237244578,0.9375866851595007,0.9209809264305178,0.6791171477079796,0.723404255319149,0.6829652996845426
ad5a5f0b7e844448976b6469e3f38979,teak,769680,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6347990908993827,0.7074337870914955,0.8860435339308579,0.9427792915531336,0.7062818336162988,0.7446808510638298,0.7097791798107256
7e25723c037d4f66b1a01bc249f9840d,teak,454803,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6858816417389526,0.737336629588325,0.9078947368421053,0.9400544959128065,0.7436332767402377,0.7446808510638298,0.7444794952681388
a34d436abe874906bce5da13bcb56659,teak,690695,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6449530149700575,0.6980416775500409,0.911957950065703,0.9455040871934605,0.6960950764006791,0.7021276595744681,0.6971608832807571
5eba85a03a3c4f4fa55aef41d2aaa151,teak,344218,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6509222977025346,0.6959784499129963,0.9101717305151915,0.9386920980926431,0.7113752122241087,0.7021276595744681,0.7113564668769716
95825330b5324850bb53c98dd1b979ef,teak,392477,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6617431896608162,0.6945349227643338,0.9261744966442953,0.9400544959128065,0.7130730050933786,0.7021276595744681,0.7129337539432177
b3de590ef1764cddbc48476610b56eb6,teak,505846,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6777190153362762,0.682288072521663,0.9292786421499293,0.8950953678474114,0.6740237691001698,0.8085106382978723,0.6845425867507886
398facfdd121472e9c99af879aeb9fb8,teak,538310,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6559030197351701,0.7251003152206487,0.895618556701031,0.946866485013624,0.7181663837011885,0.7446808510638298,0.7208201892744479
f904622ba0744da8adc990cfa5f11cfc,teak,478192,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6388062808348707,0.6613053850795176,0.921161825726141,0.9073569482288828,0.6570458404074703,0.6382978723404256,0.6561514195583596
3540cd940d264aa6a9519037fa53563c,teak,952728,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6247106737378659,0.7161011997247156,0.8662576687116564,0.9618528610354223,0.7232597623089984,0.7021276595744681,0.722397476340694
ff01c3c706744acca19ddee518d54943,teak,447857,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6667558716247349,0.7080265108846171,0.9184491978609626,0.9359673024523161,0.7062818336162988,0.723404255319149,0.7082018927444795
24566e37417b477881c79667d88efa37,teak,654517,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.65614574753333,0.7061893535847938,0.9072847682119205,0.9332425068119891,0.7198641765704584,0.6595744680851063,0.7160883280757098
570d7e9bcd12442fa190fd6e8a1f6842,teak,326518,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.673619092238572,0.7051595666276458,0.921302578018996,0.9250681198910081,0.7130730050933786,0.6808510638297872,0.7113564668769716
e7635b91031c437da706e790f8ec0037,teak,436296,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6741943622812978,0.7129083633987268,0.9165545087483177,0.9277929155313351,0.7300509337860781,0.6595744680851063,0.7255520504731862
7240fd3ced8c47efa00577b040add799,teak,723653,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6843869599353863,0.735435058742349,0.9128137384412153,0.94141689373297,0.7368421052631579,0.8297872340425532,0.7444794952681388
2e3049590e8f40d49ffb8ee1cbfa06b0,teak,646171,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6746882028422054,0.7048525749893533,0.9292517006802721,0.9305177111716622,0.7045840407470289,0.723404255319149,0.7066246056782335
2a9ca85f1dbe46e4a05aaf941f002be8,teak,306939,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6358860459829179,0.6924564407452918,0.9060052219321149,0.9455040871934605,0.7062818336162988,0.6170212765957447,0.7003154574132492
62f22b2a8ca34e2ba733b9a4ec34489a,teak,758261,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6637298531927943,0.7083189827453669,0.9140211640211641,0.94141689373297,0.7198641765704584,0.7446808510638298,0.722397476340694
6e5fb30038e6433699087fcfbe1e4e9d,teak,976563,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6527987020554119,0.6983242961350873,0.9145527369826435,0.9332425068119891,0.6893039049235993,0.7446808510638298,0.694006309148265
