site,train,test,bbox_prec,bbox_rec,class_prec,class_rec
teak,temp-train.csv,fold_0.csv,0.6074549816547264,0.7273697815582217,0.86,0.9866156787762906
teak,temp-train.csv,fold_1.csv,0.5430575254210303,0.7109947501045728,0.7419898819561551,0.995475113122172
teak,temp-train.csv,fold_2.csv,0.454359001341081,0.7272872941210538,0.6569965870307167,0.9948320413436692
teak,temp-train.csv,fold_3.csv,0.5313967433584531,0.7697559946849893,0.7246653919694073,0.9844155844155844
teak,temp-train.csv,fold_4.csv,0.39459383299769596,0.704048892991044,0.6082191780821918,1.0
teak,temp-train.csv,fold_5.csv,0.44677102243494965,0.7192321475649481,0.6624113475177305,1.0
teak,temp-train.csv,fold_6.csv,0.48691154493772265,0.7248703480441153,0.6985714285714286,1.0
teak,temp-train.csv,fold_7.csv,0.5198912598977321,0.7722994968168178,0.6994459833795014,0.9960552268244576
teak,temp-train.csv,fold_8.csv,0.4919298618028937,0.655233221869041,0.7527075812274369,0.9834905660377359
teak,temp-train.csv,fold_9.csv,0.5522338278111554,0.7159234236623941,0.7632508833922261,0.968609865470852
mlbs,temp-train.csv,fold_0.csv,0.5466311705535843,0.627718975844463,0.8701754385964913,1.0
mlbs,temp-train.csv,fold_1.csv,0.5548772454030451,0.6052139205761627,0.9158576051779935,0.9895104895104895
mlbs,temp-train.csv,fold_2.csv,0.6012957097933513,0.5694961895086882,0.9752650176678446,0.9261744966442953
mlbs,temp-train.csv,fold_3.csv,0.5961296546921335,0.7050785269018944,0.8531746031746031,0.9953703703703703
mlbs,temp-train.csv,fold_4.csv,0.5074205166418282,0.591572187141217,0.857707509881423,1.0
mlbs,temp-train.csv,fold_5.csv,0.5517482517482517,0.6942750677506776,0.7966804979253111,1.0
mlbs,temp-train.csv,fold_6.csv,0.6218238052796876,0.6981685567390716,0.8925619834710744,1.0
mlbs,temp-train.csv,fold_7.csv,0.6000910756853032,0.6571825461606166,0.9153225806451613,0.9869565217391304
mlbs,temp-train.csv,fold_8.csv,0.6131805341551104,0.6464791105121294,0.9484978540772532,1.0
mlbs,temp-train.csv,fold_9.csv,0.6109819877836973,0.646996264946429,0.919831223628692,0.9688888888888889
site,train,test,bbox_prec,bbox_rec,class_prec,class_rec
niwo,temp-train.csv,fold_0.csv,0.7189018352193423,0.5933347668363703,1.0,0.8185920577617328
niwo,temp-train.csv,fold_1.csv,0.7341483413195986,0.6094601241782643,1.0,0.8242914979757086
niwo,temp-train.csv,fold_2.csv,0.6938656901313826,0.5643864678900865,1.0,0.8044406490179334
niwo,temp-train.csv,fold_3.csv,0.6725212243713629,0.6120637012238264,1.0,0.9073724007561437
niwo,temp-train.csv,fold_4.csv,0.6925864166841864,0.5780153136301374,1.0,0.8174872665534805
niwo,temp-train.csv,fold_5.csv,0.7311879623115234,0.6130233291857288,1.0,0.834061135371179
niwo,temp-train.csv,fold_6.csv,0.6665456029086914,0.6138807226920326,0.9856262833675564,0.9048067860508954
niwo,temp-train.csv,fold_7.csv,0.6628002289011692,0.5110246596749849,1.0,0.7662463627546072
niwo,temp-train.csv,fold_8.csv,0.6820613656171406,0.6421392530664808,0.988173455978975,0.9261083743842364
niwo,temp-train.csv,fold_9.csv,0.697382244219622,0.5838138281747179,0.990979381443299,0.802713987473904
sjer,temp-train.csv,fold_0.csv,0.6649140211640212,0.800768849206349,0.7539936102236422,0.9477911646586346
sjer,temp-train.csv,fold_1.csv,0.5967732884399551,0.7483930211202938,0.7530487804878049,0.8821428571428571
sjer,temp-train.csv,fold_2.csv,0.6415864999198332,0.804226245135336,0.75,0.9324324324324325
sjer,temp-train.csv,fold_3.csv,0.6289329004329004,0.8065846098346099,0.7412935323383084,0.93125
sjer,temp-train.csv,fold_4.csv,0.6202634310134311,0.7624285714285715,0.7208672086720868,0.9140893470790378
sjer,temp-train.csv,fold_5.csv,0.5184592352092352,0.7893849206349205,0.5990220048899756,0.9607843137254902
sjer,temp-train.csv,fold_6.csv,0.6583230544965238,0.7580384751303119,0.7987616099071208,0.8958333333333334
sjer,temp-train.csv,fold_7.csv,0.5995905483405484,0.8180476190476189,0.6968085106382979,0.966789667896679
sjer,temp-train.csv,fold_8.csv,0.6451958254988558,0.7833814333814334,0.7584097859327217,0.9084249084249084
sjer,temp-train.csv,fold_9.csv,0.5848926012918882,0.8292568542568542,0.6674816625916871,0.9479166666666666
