exp_id,site,seed,pi_f,rule,epochs,chm,train,test,bbox_prec,bbox_rec,class_prec,class_rec,n_grn_matched,n_brn_matched,n_both_matched
0af29993575644f7957d6f2530089e73,teak,42,0.0,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7044574542374913,0.7084223450048852,0.9478873239436619,0.9168937329700273,0.7266553480475382,0.6170212765957447,0.7192429022082019
fa7fd8a0b19c4864bb29227965390551,teak,518437,0.0,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6738668356028169,0.7259943964938809,0.9140211640211641,0.94141689373297,0.733446519524618,0.7021276595744681,0.7318611987381703
9fc1dd94f515459ab555f47514b1ff36,teak,645142,0.0,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7043695689180173,0.7004222537181327,0.9446022727272727,0.9059945504087193,0.7283531409168081,0.5319148936170213,0.7145110410094637
9415036697224b49b8d6b1966335418b,teak,951277,0.0,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.675442837270694,0.6918551989740351,0.9277777777777778,0.9100817438692098,0.7096774193548387,0.574468085106383,0.7003154574132492
c6db5fda5c2e4d6da886598df77708df,teak,42,0.1,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7102830107314767,0.6861932707200731,0.965166908563135,0.9059945504087193,0.7181663837011885,0.5957446808510638,0.7097791798107256
2ec8b5309ce5443fa6780dd52b640d48,teak,518437,0.1,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6888206185450888,0.7124746984076766,0.9411764705882353,0.9373297002724795,0.7198641765704584,0.6595744680851063,0.7160883280757098
3ab712754e13420b8c784e28c223b5c7,teak,645142,0.1,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7235380438165998,0.6812618336133044,0.967016491754123,0.8787465940054496,0.7096774193548387,0.5106382978723404,0.695583596214511
9dbdb20c96184e7389cdc6349122ba18,teak,951277,0.1,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6779844393473735,0.7018202188151768,0.9301369863013699,0.9250681198910081,0.7113752122241087,0.5957446808510638,0.7034700315457413
467c7053f8a140c9914bd24204f5a645,teak,42,0.2,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.6984240517461537,0.7193281392503623,0.9370725034199726,0.9332425068119891,0.7521222410865874,0.5531914893617021,0.7381703470031545
d162a0786d914e80b9e0f4aba3e80382,teak,518437,0.2,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.695385746196821,0.7005668637036391,0.9382022471910112,0.9100817438692098,0.7215619694397284,0.6382978723404256,0.7160883280757098
58ce6f82318e488e8351ae62e27fb74c,teak,645142,0.2,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7287111152557687,0.6915447321963051,0.9597615499254843,0.8773841961852861,0.7130730050933786,0.5319148936170213,0.7003154574132492
be3952ec15484a59a23e972c639e4999,teak,951277,0.2,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7189543921518596,0.6989640709271135,0.9623733719247467,0.9059945504087193,0.7266553480475382,0.5319148936170213,0.7129337539432177
1ec2ec6307c34995a9a5bddd2a5900b6,teak,42,0.3,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7019518303998147,0.6512531123078702,0.9728915662650602,0.8801089918256131,0.7045840407470289,0.46808510638297873,0.6876971608832808
2fcef2f6bdf7408eb33e015543a15fdb,teak,518437,0.3,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.746762112710045,0.6440369192429087,0.983739837398374,0.8242506811989101,0.6876061120543294,0.46808510638297873,0.6719242902208202
6282ecfa6e9c47ec8a3a2174badaecbe,teak,645142,0.3,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7367602824745326,0.6692208821545136,0.9720062208398134,0.8514986376021798,0.7147707979626485,0.425531914893617,0.694006309148265
f29eaceb881a4c6499bce0ad6b8e054b,teak,951277,0.3,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7627708711393836,0.6875845481696532,0.9858712715855573,0.8555858310626703,0.7130730050933786,0.5106382978723404,0.6987381703470031
56c73d90d39a406d8b9777266ecdace7,teak,42,0.4,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7204791457186093,0.6339459945012492,0.9825119236883942,0.8419618528610354,0.6977928692699491,0.40425531914893614,0.6766561514195584
94fda34c48924934a4528c4642959eb5,teak,518437,0.4,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.729196843074543,0.6406777420213055,0.9872,0.840599455040872,0.6757215619694398,0.48936170212765956,0.6624605678233438
ec5bc7603ac04722bbb526a7c80811af,teak,645142,0.4,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.721816619755043,0.6452828578918564,0.9827586206896551,0.8542234332425068,0.7079796264855688,0.2765957446808511,0.6766561514195584
cd096cfe91b14891b07a0dbe3cd217b3,teak,951277,0.4,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7436663627289443,0.6728980667047166,0.9732283464566929,0.8419618528610354,0.7164685908319185,0.3829787234042553,0.692429022082019
7fcbe666031a405591690039bb5c86b8,teak,42,0.5,R4,6,False,training3/TEAK-train.csv,evaluation3/TEAK-test.csv,0.7343163505679831,0.6506887010552272,0.9761146496815286,0.8351498637602179,0.7096774193548387,0.3829787234042553,0.6861198738170347
