train,test,epochs,bbox_prec,bbox_rec,class_prec,class_rec
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6415101337289458,0.5216992106072196,0.9870340356564019,0.6854248733821047
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6434690784794759,0.5225651501252971,0.9870445344129555,0.6859876195835678
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6424151782354627,0.5070256875901994,0.9869918699186991,0.6831738885762522
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6342768738952842,0.49859104455211156,0.9877450980392157,0.6803601575689364
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6423659128097187,0.5173528819810013,0.9868959868959869,0.6781091727630838
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6393551996278574,0.5038595527884441,0.9869812855980472,0.6826111423747889
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6429086624623336,0.5033836975047992,0.9876948318293683,0.6775464265616207
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6309004900114141,0.4800399108929357,0.9877049180327869,0.6781091727630838
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6301771133714972,0.4855227533343467,0.9870235198702352,0.6848621271806415
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6471356162146954,0.5267593152297662,0.9862459546925566,0.6859876195835678
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6371630471634865,0.46561419059931924,0.9883430474604497,0.6679797411367473
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.638300732425409,0.47950708747959325,0.9875207986688852,0.6679797411367473
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6387256715762547,0.5002417625641336,0.9876948318293683,0.6775464265616207
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6464344268637695,0.5227924713249604,0.9869812855980472,0.6826111423747889
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6444676010904944,0.5185139893970222,0.9868744872846595,0.6769836803601575
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6368042580741173,0.4676857420497387,0.9884297520661157,0.6730444569499155
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6377042493905255,0.5194527352929635,0.9870759289176091,0.6876758581879572
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6458226456543187,0.5037416383190823,0.9876441515650741,0.674732695554305
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6431154300394583,0.5283675347840298,0.9871794871794872,0.6933033202025887
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6469852929641012,0.5169773180299438,0.9867986798679867,0.6730444569499155
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6366893010984344,0.5022108311192025,0.987785016286645,0.6826111423747889
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6431079857096789,0.5040519308910559,0.9869174161896974,0.6792346651660102
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6363598913151345,0.44744119346696126,0.9882352941176471,0.6617895329206528
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.650690770138658,0.5196495123362578,0.9868204283360791,0.6741699493528419
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6431333266143372,0.5188510785301211,0.9869281045751634,0.6797974113674733
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6422710391090948,0.48558065919703153,0.9884297520661157,0.6730444569499155
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6419222325877032,0.5205496964048096,0.987012987012987,0.6842993809791784
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6355770055264793,0.48427116103421414,0.9885151763740772,0.6781091727630838
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6415527705580921,0.5015170345596219,0.9877149877149877,0.678671918964547
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6299643541715472,0.48526210520654994,0.9886822958771221,0.6882386043894204
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6406277775870797,0.5186963018142705,0.986960065199674,0.6814856499718627
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6354022923878582,0.4974252534100805,0.9876948318293683,0.6775464265616207
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6513506474746713,0.5206190768590749,0.9868312757201646,0.674732695554305
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6327001550031991,0.5028645358841938,0.9871071716357775,0.6893640967923467
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.630547558208085,0.4845929987266467,0.9886178861788618,0.6842993809791784
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6388733303227975,0.49978707442179465,0.9868744872846595,0.6769836803601575
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6353397952301224,0.4850283952571179,0.9877250409165302,0.6792346651660102
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6373078143242374,0.5133441913023914,0.9869067103109657,0.678671918964547
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6435022649188826,0.5059073927502461,0.987785016286645,0.6826111423747889
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6421710834557095,0.48511184391050205,0.987603305785124,0.6724817107484524
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6305998654767605,0.5206619244659317,0.987220447284345,0.6955543050084412
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6414837159391535,0.5020806633502611,0.9868744872846595,0.6769836803601575
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6420885517679573,0.5168692730799498,0.9868959868959869,0.6781091727630838
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6334646161066804,0.49960266254045044,0.987785016286645,0.6826111423747889
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6302477549028146,0.4952858624080482,0.9869067103109657,0.678671918964547
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6391279519896761,0.5064329858445996,0.986223662884927,0.6848621271806415
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6437789465311362,0.519008343895546,0.9869174161896974,0.6792346651660102
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6373177276508066,0.4634814825417803,0.9882845188284519,0.6646032639279685
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6421200201641791,0.5180989484708421,0.9869174161896974,0.6792346651660102
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6427633222828143,0.5143899024727936,0.9867659222497932,0.6713562183455262
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.627226818103159,0.4657296544733935,0.9885245901639345,0.678671918964547
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6421669138966885,0.5236938502237803,0.9870759289176091,0.6876758581879572
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6426137693502424,0.5038340383123049,0.9877250409165302,0.6792346651660102
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.638759479993488,0.5177414680339867,0.9861788617886179,0.6826111423747889
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6449428545145918,0.5263149917972856,0.9870863599677159,0.6882386043894204
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6469541057587109,0.5194408020250738,0.9860082304526749,0.6741699493528419
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6344856166354998,0.5017127625791279,0.9878444084278768,0.6859876195835678
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6362482768975031,0.48028247933354234,0.9884009942004971,0.6713562183455262
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6393381162623887,0.5184924060712133,0.9878048780487805,0.6837366347777153
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6427098506732443,0.5209270417707345,0.987012987012987,0.6842993809791784
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6396407998720594,0.5212239856669499,0.9870550161812298,0.6865503657850309
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6381775272965653,0.48334480726891615,0.9876237623762376,0.6736072031513787
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6366066326805169,0.504355395776595,0.9878738884397736,0.6876758581879572
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6459170015806535,0.48986500709305575,0.9868204283360791,0.6741699493528419
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6452254597538488,0.5183833760641491,0.9877149877149877,0.678671918964547
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6400976502142692,0.5174598956433726,0.986960065199674,0.6814856499718627
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6394347635900709,0.519741714429025,0.9870550161812298,0.6865503657850309
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.639470562866964,0.5190046672379126,0.9869918699186991,0.6831738885762522
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.648158915549998,0.4907505833304611,0.9876441515650741,0.674732695554305
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6418168786745616,0.514656745099204,0.9867986798679867,0.6730444569499155
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6454346445905487,0.5055654522439251,0.9877250409165302,0.6792346651660102
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6401950235184225,0.5030074743549581,0.9869494290375204,0.6809229037703995
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.647575044354559,0.49257216995666964,0.9876948318293683,0.6775464265616207
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6405008987468028,0.49602012923065386,0.9875104079933389,0.6674169949352842
/blue/daisyw/iharmon1/data/DeepForest-pytorch/training3/NIWO-train.csv,/blue/daisyw/iharmon1/data/DeepForest-pytorch/evaluation3/NIWO-test.csv,7,0.6425818566884866,0.5127315026756721,0.9867877786952931,0.6724817107484524
