site,train,test,bbox_prec,bbox_rec,class_prec,class_rec
niwo,fold_00.csv,fold_01.csv,0.6950296069336729,0.5773492844780399,0.99456906729634,0.8131274131274131
niwo,fold_01.csv,fold_00.csv,0.7139480171803027,0.5670543603677939,1.0,0.78536847767617
niwo,fold_10.csv,fold_11.csv,0.6988659041198952,0.58803823161878,0.9972202918693537,0.8275663206459054
niwo,fold_11.csv,fold_10.csv,0.7162811351522094,0.563535635376295,0.9990734306231179,0.7764176417641764
niwo,fold_20.csv,fold_21.csv,0.7187428664419274,0.5700475050518323,0.9995198079231693,0.7807576894223556
niwo,fold_21.csv,fold_20.csv,0.6928677531273353,0.5815786216357678,0.9977748108589231,0.8265437788018433
niwo,fold_30.csv,fold_31.csv,0.6933520836006419,0.5670819105496715,0.9985905567300916,0.8051136363636363
niwo,fold_31.csv,fold_30.csv,0.6969975167479413,0.5936382880800135,0.9939262472885032,0.8365893737447507
niwo,fold_40.csv,fold_41.csv,0.7091284825755757,0.5891899169776148,0.9992949471210341,0.819741661846925
niwo,fold_41.csv,fold_40.csv,0.6879330971417922,0.5678803429180079,0.9984584893195332,0.8140035906642729
