exp_id,site,seed,pi_f,rule,epochs,chm,train,test,bbox_prec,bbox_rec,class_prec,class_rec
3439631be87e408396770c0235da4f23,niwo,518437,0.0,R3,7,True,training4/NIWO-train.csv,evaluation4/NIWO-test.csv,0.6414516326119527,0.43253373056458,0.9940298507462687,0.6151477832512315
66feec99c61842dcbe5d115f4b8d3c02,niwo,645142,0.0,R3,7,True,training4/NIWO-train.csv,evaluation4/NIWO-test.csv,0.6434068349356812,0.43650589079476504,0.9940711462450593,0.6194581280788177
a4a770c0b38b4734863f35ea91e1c8c5,niwo,518437,0.1,R3,7,True,training4/NIWO-train.csv,evaluation4/NIWO-test.csv,0.6134437292803755,0.4693840096740033,0.9948006932409013,0.7068965517241379
6075edd4e4ce47e3935eacc1953c2486,niwo,645142,0.1,R3,7,True,training4/NIWO-train.csv,evaluation4/NIWO-test.csv,0.6133964220399141,0.4762385120809063,0.9940476190476191,0.7198275862068966
e5f46cbb73fd4894a17ed825adbace8f,niwo,518437,0.2,R3,7,True,training4/NIWO-train.csv,evaluation4/NIWO-test.csv,0.6427915013790593,0.370837033371666,0.9940968122786304,0.5184729064039408
10ad8056faf040ba8038ee9b4ce916e1,niwo,645142,0.2,R3,7,True,training4/NIWO-train.csv,evaluation4/NIWO-test.csv,0.649768360037018,0.37897746402131466,0.9929906542056075,0.5233990147783252
488bbf5f56fc4cae9fde0be8a26ff8fe,niwo,518437,0.3,R3,7,True,training4/NIWO-train.csv,evaluation4/NIWO-test.csv,0.6283667676446321,0.36025739779258364,0.9939975990396158,0.5098522167487685
90597f8c5eed43ad8b30df754ddfb27e,niwo,645142,0.3,R3,7,True,training4/NIWO-train.csv,evaluation4/NIWO-test.csv,0.6518231064426904,0.38975242652442627,0.991725768321513,0.5166256157635468
e96db489bb394547a7e9ef8bf3c0fc54,niwo,518437,0.4,R3,7,True,training4/NIWO-train.csv,evaluation4/NIWO-test.csv,0.644438192342625,0.382345467252807,0.995221027479092,0.5129310344827587
1c61bba09191450aa9fd78e02ef2bbab,niwo,645142,0.4,R3,7,True,training4/NIWO-train.csv,evaluation4/NIWO-test.csv,0.6306567319069735,0.3848521361404471,0.9930313588850174,0.5264778325123153
f5bcd018e105400b9dbf4bd4b09ff0cb,niwo,518437,0.5,R3,7,True,training4/NIWO-train.csv,evaluation4/NIWO-test.csv,0.6384550080545318,0.3828602426614381,0.9964747356051704,0.5221674876847291
e09d07363225465aadfe6d1d138a97b0,niwo,645142,0.5,R3,7,True,training4/NIWO-train.csv,evaluation4/NIWO-test.csv,0.6305666396971753,0.38254577982778015,0.9965317919075144,0.5307881773399015
576825471b5948cb9a8a5ad0619d0a6c,niwo,518437,0.6,R3,7,True,training4/NIWO-train.csv,evaluation4/NIWO-test.csv,0.6162533449074783,0.3683374877061507,0.996437054631829,0.5166256157635468
2f507e1b16d8462298749f2741222240,niwo,645142,0.6,R3,7,True,training4/NIWO-train.csv,evaluation4/NIWO-test.csv,0.6235845716565341,0.38174078981393755,0.9965635738831615,0.5357142857142857
431a9570a09c401a8220d04149e257c0,niwo,518437,0.7,R3,7,True,training4/NIWO-train.csv,evaluation4/NIWO-test.csv,0.5835830835830835,0.0353437719004933,1.0,0.054354539839407044
ba295a0a1044453c8f6ffdc4ca874679,niwo,645142,0.7,R3,7,True,training4/NIWO-train.csv,evaluation4/NIWO-test.csv,0.5698151814965574,0.29927786056592287,1.0,0.4990735021618283
b86e6ce5e6724f9d82c07f1e3fe9e914,niwo,518437,0.8,R3,7,True,training4/NIWO-train.csv,evaluation4/NIWO-test.csv,0.0,0.0,1.0,0.00684931506849315
a06740389c284c2c8e0b6545dd38e9d7,niwo,645142,0.8,R3,7,True,training4/NIWO-train.csv,evaluation4/NIWO-test.csv,0.6354166666666666,0.007657870428515266,1.0,0.013584905660377358
c7838fa2af6a41b996813d84e2a150cf,niwo,518437,0.9,R3,7,True,training4/NIWO-train.csv,evaluation4/NIWO-test.csv,0.738095238095238,0.013361807782817866,1.0,0.016006739679865205
139be0c721bf4a7b820c6a33e13795e8,niwo,645142,0.9,R3,7,True,training4/NIWO-train.csv,evaluation4/NIWO-test.csv,1.0,0.0067117117117117125,1.0,0.006711409395973154
4e30862d995f4c008843fd7694673672,teak,518437,0.0,R3,5,True,training4/TEAK-train.csv,evaluation4/TEAK-test.csv,0.6758747784000629,0.7084283826928972,0.9216216216216216,0.9291553133514986
478368022bd04de58aa7df02e2a93e78,teak,645142,0.0,R3,5,True,training4/TEAK-train.csv,evaluation4/TEAK-test.csv,0.668120195146115,0.6722904189213195,0.9394366197183098,0.9087193460490464
a6cba52f876a4b45b68394d5536d3c86,teak,518437,0.1,R3,5,True,training4/TEAK-train.csv,evaluation4/TEAK-test.csv,0.7373168312514663,0.6663335575165489,0.9937888198757764,0.8719346049046321
8e5ec7faf64d43978ce6b04174b0b5cb,teak,645142,0.1,R3,5,True,training4/TEAK-train.csv,evaluation4/TEAK-test.csv,0.7184142184602206,0.6608713644214611,0.9785276073619632,0.8692098092643051
d1cd921e7cc9425b93b7dd73f69fe053,teak,518437,0.2,R3,5,True,training4/TEAK-train.csv,evaluation4/TEAK-test.csv,0.7375559734227412,0.6631931075127777,0.9859154929577465,0.8583106267029973
