site,train,test,bbox_prec,bbox_rec,class_prec,class_rec
niwo,temp-train.csv,fold_0.csv,0.755596429184469,0.5306600784314016,1.0,0.6967509025270758
niwo,temp-train.csv,fold_1.csv,0.7726517028115046,0.5454924518612043,1.0,0.6995951417004048
niwo,temp-train.csv,fold_2.csv,0.7533504348145759,0.5250252023942173,1.0,0.6857386848847139
niwo,temp-train.csv,fold_3.csv,0.721891525674488,0.5645282407230747,1.0,0.779773156899811
niwo,temp-train.csv,fold_4.csv,0.73918517379365,0.5193940814471398,1.0,0.6893039049235993
niwo,temp-train.csv,fold_5.csv,0.7773550219289629,0.5419472058664957,1.0,0.6934497816593886
niwo,temp-train.csv,fold_6.csv,0.7231420536873472,0.5468762803989007,1.0,0.7483506126295947
niwo,temp-train.csv,fold_7.csv,0.6880470647130105,0.45300321566057034,1.0,0.6517943743937924
niwo,temp-train.csv,fold_8.csv,0.7124881385057836,0.5717116739288374,1.0,0.7992610837438424
niwo,temp-train.csv,fold_9.csv,0.7416136082678139,0.5123583055725079,1.0,0.6691022964509394
